title_target,pkg_name,title_all,description,matched
mdCockpit,com.microdrones.cockpit,mdCockpit,Mission planner and monitoring tool for Microdrones md4-1000/md4-3000 UAVs.,True
Drone Tracker,com.deepmav.dronetracker.app,Drone Tracker,Visual tracking autonomous flight for DJI drones,True
360 Drone Booth,org.DroneBooth.app,360 Drone Booth,Revolutionizing 360 Spinner Photo Booths. Autonomous Drone Technology.,True
Drone Fly Pro: Go fly Drones,com.moniqtap.dji.drone.go.fly,Drone Fly Pro: Go fly Drones,"Drone Go Fly 4 controller, smart drone pilot app for your Drone. Go fly as pro",True
AeroGCS GREEN,com.aerogcs.aerogcsenterprise.hellodrone,AeroGCS GREEN,Agriculture spraying drone mission planning,True
M-DRONE,com.mjx.mdrone,M-DRONE,Drone control image transmission APP.,True
Drone Autonomy,com.deepmav.droneautonomy.parrot,Drone Autonomy,Autonomous drone flight for Parrot Anafi drones,True
Drone Autonomy,com.deepmav.droneautonomy.app,Drone Autonomy,Autonomous drone flight for DJI drones,True
Contixo F36,com.contixo.uav,Contixo F36,Contixo 4K Aerial Drone - Your Perfect Companion for Home and Travel Adventures!,True
4DRC GO,com.drcufo.rxdrone,4DRC GO,It mainly provides the function of connecting Drone,True
VTI 360 Skyview 2,com.xygps.rxdrone,VTI 360 Skyview 2,An interesting drone control APP,True
LH Drone,com.guanxu.technology.lh_drone,LH Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
X-DRONE,com.xdrone.app,X-DRONE,This app is used for a set of GPS Drone flight control.,True
Drone Remote Control Prank,com.sjajnoaplikerazvoj.droneremotecontrol,Drone Remote Control Prank,Remote control all drones brands all in one Drone RC with Drone Remote Control,True
DW Drone,com.hy.dw_drone,DW Drone,DW Drone Control APP,True
Drone Remote Controller,com.drone.remote.tracker,Drone Remote Controller,"Use the APP to remote drone, receive the view from the drone and take photos",True
Drone Remote Controller,com.fly.smart.drone,Drone Remote Controller,Use your phone as a drone controller.,True
Drone Remote Controller,com.dji.connrctors,Drone Remote Controller,Use your Phone as Drone Controller.,True
Lidl Quadrocopter,com.rxdrone.normalwifi,Lidl Quadrocopter,A drone pilot app,True
Go Fly Drone Camera Controller,com.smartwidgetlabs.djidrone,Go Fly Drone Camera Controller,"Smart Drone controller app for drone models, Flycam Go Fly app for drone, fly go",True
Gravitii,com.gravitii.uav_pro,Gravitii,This app supports Gravitii drones to meet the needs of aerial photography.,True
Drone Amplified,com.droneamplified.da,Drone Amplified,Amplify the capabilities of your DJI Drone,True
Drone Controller App Micro XDU,com.appzeeinc.micro_drone_remote_control_app,Drone Controller App Micro XDU,Turn your phone into a Bluetooth Drone controller for XDU Micro Drones Fly Easy!,True
Go Fly Drones D.J.I Controller,com.alabs.flycam.drone,Go Fly Drones D.J.I Controller,Take command of the skies with our intuitive drone D.J.I remote controller,True
Fly Go 4: Drone Camera Remote,com.smartremote.djiflydrone,Fly Go 4: Drone Camera Remote,"Remote controller for drone, UAV, camera. Available for RC, FPV.Camera drone app",True
Elite Drone,com.cooingdv.elitedrone,Elite Drone,This APP uses WIFI to transmit images to control drone flight.,True
ClearSpot-Inspections with DJI,org.clearspotai.app,ClearSpot-Inspections with DJI,Perfect app for drone pilots to experience smarter & powerful flying.,True
ENAIRE Drones,es.enaire.androiddrones,ENAIRE Drones,Plan your drone flight safely with ENAIRE Drones,True
DRONE-UAV,com.lcfld.droneuav,DRONE-UAV,This is a connection and control drone APP.,True
SKY Drone Go,com.lcfld.skydronego,SKY Drone Go,The app is dedicated to SKYDroneGo series drones.,True
HF Cam,com.hfcam.rxdrone,HF Cam,Mainly provide the function of connecting drones,True
Crazyflie Drone Remote Control,org.appzeeinc.droneremotecontrol_crazyflie,Crazyflie Drone Remote Control,Control your Crazyflie drone! Intuitive FPV remote controller app for all pilots,True
Contixo Drone RX,com.contixo.rxdrone,Contixo Drone RX,We can control the quadcopter application,True
Fly Go 4 Drone Camera Control,com.apponfire.android.drone5,Fly Go 4 Drone Camera Control,"Safe & smart flight with Go Fly drone controller for 40+ drone camera, zone map",True
One Click Drone,,,,False
Aerodrone,com.lcfld.aerodrone,Aerodrone,"This is a connection and control drone APP, Dedicated to Aerodrone drones.",True
Flying MAX,com.lcfld.dronepro,Flying MAX,This is an APP that connects and controls the drone via WiFi.,True
Pluto Controller,,,,False
DF Drone,com.gx_df_drone,DF Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
Mahestan 62,com.lcfld.irdronego,Mahestan 62,"The app is dedicated to ""Mahestan 62"" series drone.",True
Arduino Drone Remote Control,com.appzeeinc.droneremotecontrolforarduinodrones,Arduino Drone Remote Control,Control Arduino drone via WIFI! Perfect Drone RC for DIY quadcopter projects,True
UGO drone,com.guanxu.technology.ugo_drone,UGO drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
Hero Drone,com.guanxu.technology.hero_drone,Hero Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
RxDrone,com.rxmap.rxdrone,RxDrone,"Drone shooting,control",True
GPS Drone,,,,False
Botlink Capture Drone App,,,,False
360 MachFlight,com.rxdrone.wififlight,360 MachFlight,It is suitable for the drone sold by our company.,True
Tello Drone Controller App,com.sjajnoaplikerazvoj.Tello_drone_remote_controller,Tello Drone Controller App,Control your Tello drone with Real-time video object detection drone controller,True
Fly EXO 2,com.flyexo.drone,Fly EXO 2,The app to fly the EXO Blackhawk drone.,True
HK55 DRONE GO,com.lwcx.hk55dronego,HK55 DRONE GO,This is a APP for the four axis aircraft control via WiFi protocol.,True
Drones for DJI,,,,False
AMETA Drone,com.lwcx.ametadrone,AMETA Drone,AMETA Drone is specially designed for drone beginners,True
Skippy Scout,,,,False
SidePilot,,,,False
Potensic,,,,False
Raspberry PI Drone Controller,com.appzeeinc.droneremotecontrol.droneflightcontroller,Raspberry PI Drone Controller,Control Raspberry Pi drones with your phone! Drone RC & Flight Controller app,True
MFD GO,,,,False
Rippton Drone,com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone,True
Drone Go2,com.hs.dronego,Drone Go2,Data read and write application operation of Holy Stone UAV RID equipment,True
HS FLY,,,,False
HS GPS,,,,False
RUKO DRONE,com.vison.macrochip.ruko.drone,RUKO DRONE,An app we can control a quadcopter to fly with a WiFi camera module,True
Bwine Drone,,,,False
Geneinno,,,,False
WK Fly,org.mavlink.WKFurious,WK Fly,An application for communicating with Walkera aircraft,True
RC FPV,com.cooingdv.rcfpv,RC FPV,RC FPV uses high-definition image transmission to control the quadcopter.,True
Ophelia GO,,,,False
Ophelia FLY,,,,False
,,,,False
HS GPS V1、V4、V5,,,,False
HS Sirius,,,,False
HolyStone-FPV,,,,False
PiHOT Go,,,,False
X DRONE PRO,,,,False
Contixo F35,,,,False
Potensic Eve,,,,False
PotensicPro,,,,False
WiFi UAV,,,,False
TRB FPV,com.lcfld.trbfpv,TRB FPV,The application is used to connect and operate the drone.,True
HASAKEE Q10,,,,False
4DRC Air,,,,False
YN Fly,,,,False
Youcan Dive,,,,False
Oceaneye,,,,False
BZR DRONE,com.bzrufo.rxdrone,BZR DRONE,BZR DRONE is an APP specifically designed to connect BZR drones,True
HR WIFI,com.hrwifi.rxdrone,HR WIFI,"This is a remote control app that controls the drone, which can replace the function of the remote control and save the video to the phone.",True
MIDRONE 420,com.netopsun.midrone420,MIDRONE 420,MIDRONE VISION 420 can control the aircraft by WiFi of the Android smartphone.,True
小米无人机,,,,False
KAI FLY,com.rxdrone.gpskai,KAI FLY,Connect and control the aircraft via WIFI.,True
大疆农服,,,,False
Spexi,,,,False
Fly Go 4: Drone Controller App,org.milkyapps.djicontroller,Fly Go 4: Drone Controller App,Drone Controller for 40+ DJI? Models. Unlock full potential of your DJI? drone,True
Smart Drone,com.guanxu.technology.my_drone,Smart Drone,This APP can control the aircraft by WiFi of the Android smartphone.,True
DRONI,com.garudaaerospace.DRONI,DRONI,DRONI APP,True
Vivitar Folding Drone,com.guanxu.technology.vivitar_folding_drone,Vivitar Folding Drone,Control the aircraft through the WiFi of the Android smartphone.,True
Rippton Drone,com.rippton.zywl.drone,Rippton Drone,Bait Dropping Drone,True
Loona,com.keyitech.loona,Loona,"PetBot - A Pet, A Robot, A Friend",True
Cyber Robot,it.clementoni.robot,Cyber Robot,Discover the principles of Robotics and programming with Cyber Robot!,True
Apitor Kit,com.robot.apitor,Apitor Kit,"Build, control, code",True
KEIRO™,,,,False
Yanshee,,,,False
蔚蓝机器狗,,,,False
WEILAN dev,,,,False
Yahboom Robot,com.yahboomrobot,Yahboom Robot,A Fantastic App For Robot Control From Yahboom,True
SenseRobot,com.senserobot.chessintl,SenseRobot,"Game,accompany,eye protection",True
AIRO,it.clementoni.robot.airo,AIRO,AIRO - Artificial Intelligence Robot,True
UGOT,com.ubtechinc.ugot,UGOT,This is an app used with UGOT modular robots.,True
Meteer,com.robot.meteer,Meteer,This is a control tool for the Meteer robot,True
XGO,com.luwu.xgo_robot,XGO,Quadruped robot XGO controller,True
Robooter,com.bangbangrobotics.banghui.google,Robooter,Bangbang Robot,True
WhalesBot,,,,False
CellRobot,,,,False
MiPosaur,,,,False
ClicBot,,,,False
Robosen Flagship Bumblebee,,,,False
AlphaMini,com.ubtechinc.alpha.mini.edu,AlphaMini,"Robot programming, robot control, account management and robot information.",True
Humanpanion,,,,False
Vector Robot,,,,False
AIBOTGO,,,,False
MechDog,,,,False
Raccoon - 라쿤 조이스틱,,,,False
Lynx Robot,,,,False
AELOS 1S,,,,False
Cozmo Robot,,,,False
Doly Robot,,,,False
SenseRobot Go,,,,False
MIRO,,,,False
CHiP - Your New Best Friend,,,,False
Misty App,,,,False
Artibo Manager,,,,False
Tennibot,,,,False
小丹玩转基地,,,,False
XORIGIN AI,,,,False
Rapidpower,com.zhongrun.robotdog,Rapidpower,Rapidpower for controlling smart Bluetooth robotic dog toys,True
 Fuzozo芙崽,,,,False
Power Pong Robot,org.powerpong.robot,Power Pong Robot,Create and run table tennis drills with the Power Pong robot!,True
Wolf-e Robotics Platform,com.wolfe.robotics,Wolf-e Robotics Platform,Control and manage Wolf-e Robotics devices,True
LoLo Go,,,,False
Revolution Robotics,org.revolutionrobotics.robotcontroller,Revolution Robotics,"Build, Sync, Transform and Command Your Robotics in a Flash!",True
Robot CRX FANUC,com.crx.fanuc,Robot CRX FANUC,"Even before your cobot is delivered to your company, the CRX FANUC app guides you through a new automation experience through a series of initiation modules:
-Discovery of the CRX cobot
- Unpacking and starting your cobot
- Step-by-step learning, in video, of the different functionalities
Le Fil dActu is regularly fed with articles or videos concerning the latest developments and updates of the CRX cobot. Don't forget to activate notifications to be informed in preview!
Lacking inspiration to increase your productivity and guarantee the well-being of your employees? The Practical Cases section will certainly give you ideas thanks to the feedback from our customers.
Among the other features of the CRX FANUC app, you will also find:
-Technical documentation
-The catalog of accessories compatible with the CRX
-Information on the CRX Expert training
-CRX-related events (fairs, webinars, technical days)
So don't wait any longer to join the CRX FANUC user community!",True
Marbel Robots,,,,False
Marlin,it.centrosistemi.marlin,Marlin,"Marlin, the revolutionary wireless & autonomous pool-cleaning robot!!",True
Robotberry,com.aifarm.robotberry,Robotberry,An offline robot controller app,True
EEVE,,,,False
VandiPlay(반디플레이),,,,False
Naio Companion,,,,False
Solinftec Solix,,,,False
Octiva,,,,False
Farmdroid App,,,,False
iRemoteFishing,,,,False
Kilter Remote,,,,False
MonarchUAT,,,,False
WingspanAI,,,,False
NexusMT,,,,False
NiteAura,com.Linkface.NiteAura,NiteAura,NiteAura - Smart Sleep Tracking & ComfortAir Mask Control,True
Hypershell+,,,,False
myo-plus,,,,False
BR 仿生手,,,,False
轻凌,,,,False
VIGX,,,,False
ConchinAssist,,,,False
,,,,False
Bioservo,com.bioservo.biocloud.app,Bioservo,"The Bioservo app is used to manage?the grip-strengthening gloves Ironhand and Carbonhand from Bioservo Technologies.
In the app, you can?customize?the gloves according to the user's needs and keep track of your Ironhand systems.
Functions for Carbonhand
When using Carbonhand, the Bioservo app is used to customize the glove for a specific user.
The main features are:
- Calibrating the glove to fit the users hand.
- Configure features like responsiveness, force and stickiness, as well as linking sensors to different fingers, all of which can be saved in profiles to be used for different tasks.
- Assign profiles to the three slots in the physical user interface.
- Activate/deactivate the Lock assist function.
- Enable an external button for activating the glove.",True
Shift Robotics,com.shiftrobotics.android,Shift Robotics,AI-enhanced mobility,True
Bioservo Carbonhand App,com.bioservo.app,Bioservo Carbonhand App,"Carbonhand is an innovative and user-friendly grip enhancing glove. This app is designed to be used with this glove in order to tailor its functionality to suit the wearer's needs. In the app, you can find presets and also create your own settings. The app can only be used together with the Carbonhand from Bioservo. To learn more, visit: http://www.bioservo.com",True
Remote Control App for ALLUX2,com.companyname.ALLUXRemoteController,Remote Control App for ALLUX2,"Using this app, You can easily switch to 5 different walking modes.",True
ZYY_HEXO,,,,False
Cockpit,com.ottobock.prosthetics.ll.cockpit,Cockpit,Adjust prostheses and orthoses,True
connectgrip. by ottobock.,,,,False
Unitree Explore,,,,False
Unitree Go1 GO2 ,,,,False
A1/AlienGo,,,,False
AgileX LIMO,,,,False
Booster Robotics,,,,False
绝影lite3 APP,,,,False
绝影lite2 APP,,,,False
AgiBot GO APP,,,,False
MagicBot,,,,False
MagicDog,,,,False
cyberdog APP,,,,False
有鹿机器人,,,,False
WEILAN,,,,False
Robot Assist,com.abb.robotassist,Robot Assist,Get easy access to ABB cobot resources.,True
CyberDog2,,,,False
Kiwibot,,,,False
Unitree Go,com.unitree.doggo2,Unitree Go,Unitree Go is an exclusive App for consumer-level robotdog,True
Arm Robot Control Makerslab,appinventor.ai_makerslabfablab.Arm_Robot_Control,Arm Robot Control Makerslab,Control your 6-motor Robotic Arms with Arduino and Bluetooth,True
ABB Infoservice,com.abb.infoservice,ABB Infoservice,ABB Robots Management,True
ST Robotics,com.st.robotics,ST Robotics,ST Robotics Application for scanning and controlling robotic kits.,True
Carle,com.ihunuo.jtlrobot,Carle,This is an App that controls robots through mobile phones,True
BT Robot Controller,,,,False
Aelos,,,,False
Rapidpower,com.zhongrun.robotdog,Rapidpower,Rapidpower for controlling smart Bluetooth robotic dog toys,True
AimMaster,,,,False
INFFNI ROVER,,,,False
Dobot CRStudio,,,,False
WonderROS,com.hiwonder.wonderros,WonderROS,"This app is used to control Hiwonder's robots,support AiNex,ROSLander,ROSpug,ROSpider",True
Wonderbot,com.Wonder.bot,Wonderbot,"This app is used to control hiwonder robots, such as H5S,xArm,Spiderbot,MaxArm",True
Wonderbit,,,,False
WonderArm,,,,False
WonderPi,,,,False
WonderCom,,,,False
AiMecha,,,,False
WonderAi,,,,False
WonderNex,,,,False
UR+ AR,,,,False
